id,name,address,city,state,postal_code,phone_number
835,KAM PO KITCHEN,801 BROADWAY ST ,San Francisco,CA,94133,
840,MOLINARI DELICATESSEN,373 COLUMBUS AVE ,San Francisco,CA,94133,
842,DA FLORA,701 COLUMBUS AVE ,San Francisco,CA,94133,
843,ESTIA RESTAURANT,1224 GRANT AVE ,San Francisco,CA,94133,
845,CAFE JACQUELINE,1454 GRANT AVE ,San Francisco,CA,94133,+14155985565
847,GOLDEN BOY PIZZA,542 GREEN ST ,San Francisco,CA,94133,
850,CAFFE SPORT,574 GREEN ST ,San Francisco,CA,94133,
852,NEW HOLLYWOOD BAKERY & RESTAURANT,652 PACIFIC AVE ,San Francisco,CA,94133,
854,FIRENZE BY NIGHT,1421 STOCKTON ST,San Francisco,CA,94133,
856,DELFINA RESTAURANT,3621 18TH ST ,San Francisco,CA,94110,+14155554094
860,CUP A JOE COFFEEHOUSE,896 SUTTER ST ,San Francisco,CA,94109,
865,CANTEEN,817 SUTTER ST ,San Francisco,CA,94109,
870,YAN'S KITCHEN,57 COLUMBUS AVE ,San Francisco,CA,94111,
873,"THE COFFEE ROASTER, INC.",536 DAVIS ST ,San Francisco,CA,94111,
874,PANCHO'S SALSA BAR & GRILL,1639 POLK ST ,San Francisco,CA,94109,
876,"PATPONG THAI CUISINE, INC.",2415 CLEMENT ST ,San Francisco,CA,94121,
880,DELICIOUS DIM SUM,752 JACKSON ST ,San Francisco,CA,94133,
884,HOUSE OF NANKING,919 KEARNY ST ,San Francisco,CA,94133,
886,LE PETIT CAFE,1 MARITIME PLAZA  ,San Francisco,CA,94111,
891,LUCKY CREATION VEGETARIAN RESTAURANT LLC,854 WASHINGTON ST ,San Francisco,CA,94108,
892,HAPPY DONUTS,100 BUSH ST #101,San Francisco,CA,94104,
902,MARCELLO'S PIZZA,420 CASTRO ST ,San Francisco,CA,94114,+14155863900
903,SABRA RESTAURANT,419 GRANT AVE,San Francisco,CA,94108,+14155983656
905,WORKING GIRLS' CAFE',0259 KEARNY ST,San Francisco,CA,94108,
910,FRONT DOOR CAFE,1 FRONT ST #100,San Francisco,CA,94111,
